접수번호,법인구분,고유번호,법인명,주식의종류,이름,관계,기초주식수,기초주식지분율,기말주식수,기말주식지분율,비고,보고서연도
20220324000790,K,00238782,다우데이타,보통주,김형주,친인척,"30,388",0.08,"30,388",0.08,-,2021
20220324000790,K,00238782,다우데이타,보통주,계,,"25,794,034",67.33,"25,681,095",67.05,-,2021
20220324000790,K,00238782,다우데이타,-,계,,-,-,-,-,-,2021
20230322001218,K,00238782,다우데이타,보통주,이머니,최대주주,"12,086,439",31.56,"12,086,439",31.56,-,2022
20230322001218,K,00238782,다우데이타,보통주,김익래,임원,"10,176,105",26.57,"10,210,960",26.66,장내매수,2022
20230322001218,K,00238782,다우데이타,보통주,김동준,친인척,"2,500,000",6.53,"2,500,000",6.53,-,2022
20230322001218,K,00238782,다우데이타,보통주,김진현,친인척,"400,000",1.04,"400,000",1.04,-,2022
20230322001218,K,00238782,다우데이타,보통주,김진이,친인척,"400,000",1.04,"400,000",1.04,-,2022
20230322001218,K,00238782,다우데이타,보통주,양일홍,계열사임원,"33,961",0.09,"33,961",0.09,-,2022
20230322001218,K,00238782,다우데이타,보통주,이진환,계열사임원,"54,202",0.14,"26,691",0.07,장내매도,2022
20230322001218,K,00238782,다우데이타,보통주,김형주,친인척,"30,388",0.08,"30,388",0.08,-,2022
20230322001218,K,00238782,다우데이타,보통주,계,,"25,681,095",67.05,"25,688,439",67.07,-,2022
20230322001218,K,00238782,다우데이타,-,계,,-,-,-,-,-,2022
20210317000735,Y,00131850,SK증권,보통주,"제이앤더블유 비아이지
유한회사","최대주주
본인","92,609,439",19.60,"92,609,439",19.60,-,2020
20210317000735,Y,00131850,SK증권,우선주,"제이앤더블유 비아이지
유한회사","최대주주
본인",0,0.00,0,0.00,-,2020
20210317000735,Y,00131850,SK증권,보통주,계,,"92,609,439",19.60,"92,609,439",19.60,-,2020
20210317000735,Y,00131850,SK증권,우선주,계,,0,0.00,0,0.00,-,2020
20210317000735,Y,00131850,SK증권,합  계,계,,"92,609,439",19.44,"92,609,439",19.44,-,2020
20220316001039,Y,00131850,SK증권,보통주,제이앤더블유 비아이지 유한회사,최대주주본인,"92,609,439",19.60,"92,609,439",19.60,-,2021
20220316001039,Y,00131850,SK증권,우선주,제이앤더블유 비아이지 유한회사,최대주주본인,0,0.00,0,0.00,-,2021
20220316001039,Y,00131850,SK증권,보통주,계,,"92,609,439",19.60,"92,609,439",19.60,-,2021
20220316001039,Y,00131850,SK증권,우선주,계,,0,0.00,0,0.00,-,2021
20220316001039,Y,00131850,SK증권,합  계,계,,"92,609,439",19.44,"92,609,439",19.44,-,2021
20230324000127,Y,00131850,SK증권,보통주,제이앤더블유 비아이지 유한회사,최대주주본인,"92,609,439",19.60,"92,609,439",19.60,-,2022
20230324000127,Y,00131850,SK증권,우선주,제이앤더블유 비아이지 유한회사,최대주주본인,0,0.00,0,0.00,-,2022
20230324000127,Y,00131850,SK증권,보통주,계,,"92,609,439",19.60,"92,609,439",19.60,-,2022
20230324000127,Y,00131850,SK증권,우선주,계,,-,-,-,-,-,2022
20230324000127,Y,00131850,SK증권,합  계,계,,"92,609,439",19.44,"92,609,439",19.44,-,2022
20210318001059,Y,00860332,메리츠금융지주,보통주,조정호,최대주주 본인,"96,714,384",68.97,"96,714,384",72.17,-,2020
20210318001059,Y,00860332,메리츠금융지주,보통주,조효재,혈족1촌,"68,523",0.05,"68,523",0.05,-,2020
20210318001059,Y,00860332,메리츠금융지주,보통주,김용범,임원,"40,000",0.03,"40,000",0.03,-,2020
20210318001059,Y,00860332,메리츠금융지주,보통주,이상훈,임원,0,0.00,296,0.00,-,2020
20210318001059,Y,00860332,메리츠금융지주,보통주,이범진,계열사임원,"6,283",0.00,"6,283",0.00,-,2020
20210318001059,Y,00860332,메리츠금융지주,보통주,계,,"96,829,190",69.05,"96,829,486",72.25,-,2020
20210318001059,Y,00860332,메리츠금융지주,-,계,,-,-,-,-,-,2020
20221130001331,Y,00860332,메리츠금융지주,보통주,조정호,최대주주 본인,"96,714,384",72.17,"96,714,384",72.17,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,조효재,혈족1촌,"68,523",0.05,"68,523",0.05,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,김용범,임원,"40,000",0.03,"40,000",0.03,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,이상훈,임원,296,0.00,0,0.00,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,이범진,계열사임원,"6,283",0.00,"6,283",0.00,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,차희준,계열사임원,0,0.00,"3,070",0.00,-,2021
20221130001331,Y,00860332,메리츠금융지주,보통주,계,,"96,829,486",72.25,"96,832,260",72.26,-,2021
20221130001331,Y,00860332,메리츠금융지주,-,계,,-,-,-,-,-,2021
20230309000894,Y,00860332,메리츠금융지주,보통주,조정호,최대주주 본인,"96,714,384",72.17,"96,714,384",75.81,-,2022
20230309000894,Y,00860332,메리츠금융지주,보통주,조효재,혈족1촌,"68,523",0.05,"68,523",0.05,-,2022
20230309000894,Y,00860332,메리츠금융지주,보통주,김용범,임원,"40,000",0.03,"40,000",0.03,-,2022
20230309000894,Y,00860332,메리츠금융지주,보통주,이범진,계열사임원,"6,283",0.00,"6,283",0.00,-,2022
20230309000894,Y,00860332,메리츠금융지주,보통주,차희준,계열사임원,"3,070",0.00,"3,070",0.00,-,2022
20230309000894,Y,00860332,메리츠금융지주,보통주,계,,"96,832,260",72.25,"96,832,260",75.90,-,2022
20230309000894,Y,00860332,메리츠금융지주,-,계,,-,-,-,-,-,2022
20210317000233,Y,00120182,NH투자증권,보통주,농협금융지주,최대주주,"138,195,501",49.11,"138,195,501",49.11,-,2020
20210317000233,Y,00120182,NH투자증권,보통주,정영채,특수관계인,"11,697",0.00,"16,697",0.01,"장내매수
(금융위원회 법령해석에 따라 
우리사주조합의 조합원계정 주식을
소유에서 제외)",2020
20210317000233,Y,00120182,NH투자증권,보통주,한태동,특수관계인,0,0.00,"5,700",0.00,장내매수,2020
20210317000233,Y,00120182,NH투자증권,보통주,임승한,특수관계인,0,0.00,500,0.00,장내매수,2020
20210317000233,Y,00120182,NH투자증권,보통주,임성훈,특수관계인,0,0.00,500,0.00,장내매수,2020
20210317000233,Y,00120182,NH투자증권,보통주,계,,"138,207,198",49.11,"138,218,898",49.12,-,2020
20210317000233,Y,00120182,NH투자증권,종류주식,계,,0,0.00,0,0.00,-,2020
20220315000644,Y,00120182,NH투자증권,보통주,농협금융지주,최대주주,"138,195,501",49.11,"153,820,501",51.79,유상증자(제3자 배정),2021
20220315000644,Y,00120182,NH투자증권,보통주,정영채,특수관계인,"16,697",0.01,"16,697",0.01,"금융위원회 법령해석에 따라 
우리사주조합의 조합원계정 주식을
소유에서 제외",2021
20220315000644,Y,00120182,NH투자증권,보통주,한태동,특수관계인,"5,700",0.00,0,0.00,임원퇴임,2021
20220315000644,Y,00120182,NH투자증권,보통주,임승한,특수관계인,500,0.00,0,0.00,장내매도,2021
20220315000644,Y,00120182,NH투자증권,보통주,임성훈,특수관계인,500,0.00,500,0.00,-,2021
20220315000644,Y,00120182,NH투자증권,보통주,계,,"138,218,898",49.12,"153,837,698",51.79,-,2021
20220315000644,Y,00120182,NH투자증권,종류주식,계,,0,0.00,0,0.00,-,2021
20230315000964,Y,00120182,NH투자증권,보통주,농협금융지주,최대주주,"153,820,501",51.79,"188,452,535",56.82,유상증자(제3자 배정),2022
20230315000964,Y,00120182,NH투자증권,보통주,정영채,계열사임원,"16,697",0.01,"16,697",0.01,"금융위원회 법령해석에 따라 
우리사주조합의 조합원계정 주식을
소유에서 제외",2022
20230315000964,Y,00120182,NH투자증권,보통주,임성훈,계열사임원,500,0.00,500,0.00,-,2022
20230315000964,Y,00120182,NH투자증권,보통주,조재호,계열사임원,0,0.00,"1,000",0.00,장내매수,2022
20230315000964,Y,00120182,NH투자증권,보통주,이태식,계열사임원,0,0.00,5,0.00,장내매수,2022
20230315000964,Y,00120182,NH투자증권,보통주,김경호,계열사임원,0,0.00,"8,356",0.00,신규선임,2022
20230315000964,Y,00120182,NH투자증권,보통주,강혜정,계열사임원,0,0.00,850,0.00,신규선임,2022
20230315000964,Y,00120182,NH투자증권,보통주,명재완,계열사임원,0,0.00,50,0.00,신규선임,2022
20230315000964,Y,00120182,NH투자증권,보통주,안현실,계열사임원,0,0.00,1,0.00,장내매수,2022
20230315000964,Y,00120182,NH투자증권,보통주,계,,"153,837,698",51.79,"188,479,994",56.83,-,2022
20230315000964,Y,00120182,NH투자증권,우선주,계,,0,0.00,0,0.00,-,2022
20210318000657,Y,00432102,한국금융지주,보통주,김남구,최대주주 본인,"11,271,636",20.23,"11,534,636",20.70,-,2020
20210318000657,Y,00432102,한국금융지주,보통주,이강행,임원,0,0.00,"3,000",0.01,-,2020
20210318000657,Y,00432102,한국금융지주,보통주,계,,"11,271,636",20.23,"11,537,636",20.70,-,2020
20210318000657,Y,00432102,한국금융지주,종류주식,계,,0,0.00,0,0.00,-,2020
20220317000665,Y,00432102,한국금융지주,보통주,김남구,최대주주 본인,"11,534,636",20.70,"11,534,636",20.70,-,2021
20220317000665,Y,00432102,한국금융지주,보통주,이강행,임원,"3,000",0.01,"3,000",0.01,-,2021
20220317000665,Y,00432102,한국금융지주,보통주,계,,"11,537,636",20.70,"11,537,636",20.70,-,2021
20220317000665,Y,00432102,한국금융지주,종류주식,계,,-,-,-,-,-,2021
20230316000852,Y,00432102,한국금융지주,보통주,김남구,최대주주 본인,"11,534,636",20.70,"11,534,636",20.70,-,2022
20230316000852,Y,00432102,한국금융지주,보통주,이강행,임원,"3,000",0.01,0,0.00,"특수관계인 제외
(2022.03.25)",2022
20230316000852,Y,00432102,한국금융지주,보통주,계,,"11,537,636",20.70,"11,534,636",20.70,-,2022
20230316000852,Y,00432102,한국금융지주,종류주식,계,,-,-,-,-,-,2022
20210324000853,Y,00176914,다우기술,보통주,(주)다우데이타,본인,"19,058,100",42.48,"20,278,000",45.20,장내매수,2020
20210324000853,Y,00176914,다우기술,보통주,(주)이머니,계열사,"162,400",0.36,"162,400",0.36,-,2020
20210324000853,Y,00176914,다우기술,보통주,김익래,계열사 임원,"449,379",1.00,"449,379",1.00,-,2020
20210324000853,Y,00176914,다우기술,보통주,김영훈,계열사 임원,413,0.00,0,0.00,장내매도,2020
20210324000853,Y,00176914,다우기술,보통주,김형주,기타,"40,000",0.09,"40,000",0.09,-,2020
20210324000853,Y,00176914,다우기술,보통주,김윤덕,계열사 임원,"17,000",0.04,"17,000",0.04,-,2020
20210324000853,Y,00176914,다우기술,보통주,정래현,계열사 임원,"10,000",0.02,"10,000",0.02,-,2020
20210324000853,Y,00176914,다우기술,보통주,김재철,계열사 임원,"20,000",0.04,0,0.00,특수관계자 제외,2020
20210324000853,Y,00176914,다우기술,보통주,신상범,계열사 임원,"5,000",0.01,"5,000",0.01,-,2020
20210324000853,Y,00176914,다우기술,보통주,계,,"19,762,292",44.05,"20,961,779",46.72,-,2020
20210324000853,Y,00176914,다우기술,-,계,,-,-,-,-,-,2020
20220324000698,Y,00176914,다우기술,보통주,(주)다우데이타,본인,"20,278,000",45.20,"20,278,000",45.20,-,2021
20220324000698,Y,00176914,다우기술,보통주,(주)이머니,계열사,"162,400",0.36,"162,400",0.36,-,2021
20220324000698,Y,00176914,다우기술,보통주,김익래,계열사 임원,"449,379",1.00,"449,379",1.00,-,2021
20220324000698,Y,00176914,다우기술,보통주,김형주,기타,"40,000",0.09,"40,000",0.09,-,2021
20220324000698,Y,00176914,다우기술,보통주,김윤덕,계열사 임원,"17,000",0.04,"17,000",0.04,-,2021
20220324000698,Y,00176914,다우기술,보통주,정래현,계열사 임원,"10,000",0.02,"10,000",0.02,-,2021
20220324000698,Y,00176914,다우기술,보통주,신상범,계열사 임원,"5,000",0.01,"5,000",0.01,-,2021
